frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.028000000000000004,0.034,0.08,0.0,0.0,0.018,0.13999999999999999,0.088,0.062,0.002,0.0,0.064,0.078,0.0
1,0.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.016,0.04,0.08399999999999999,0.0,0.0,0.016,0.158,0.05,0.054000000000000006,0.014000000000000002,0.002,0.03,0.032,0.002
2,0.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.006,0.052000000000000005,0.1,0.0,0.002,0.014000000000000002,0.16999999999999998,0.022,0.041999999999999996,0.02,0.008,0.008,0.004,0.002
3,0.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.062,0.092,0.0,0.002,0.02,0.174,0.002,0.032,0.02,0.006,0.006,0.002,0.002
4,0.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.06999999999999999,0.088,0.0,0.002,0.016,0.176,0.002,0.02,0.008,0.004,0.008,0.0,0.0
5,0.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.01,0.098,0.0,0.06999999999999999,0.094,0.0,0.0,0.012,0.16999999999999998,0.002,0.028000000000000004,0.0,0.0,0.008,0.004,0.0
6,0.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.016,0.01,0.1,0.0,0.064,0.10600000000000001,0.0,0.006,0.004,0.16999999999999998,0.0,0.026000000000000002,0.0,0.0,0.008,0.01,0.0
7,0.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.016,0.018,0.08399999999999999,0.0,0.064,0.096,0.0,0.006,0.004,0.178,0.0,0.024,0.0,0.0,0.0,0.01,0.0
8,0.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.02,0.08399999999999999,0.01,0.064,0.08399999999999999,0.0,0.01,0.008,0.202,0.0,0.012,0.0,0.002,0.0,0.006,0.0
9,0.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.018,0.041999999999999996,0.078,0.014000000000000002,0.06,0.09,0.0,0.004,0.008,0.20600000000000002,0.0,0.006,0.0,0.002,0.0,0.0,0.0
10,0.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.034,0.048,0.09,0.03,0.06,0.1,0.0,0.004,0.008,0.20600000000000002,0.0,0.008,0.002,0.002,0.0,0.0,0.0
11,0.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03,0.036,0.092,0.024,0.054000000000000006,0.11200000000000002,0.0,0.0,0.0,0.192,0.0,0.004,0.002,0.002,0.0,0.004,0.0
12,0.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.018,0.016,0.092,0.02,0.054000000000000006,0.094,0.0,0.0,0.004,0.188,0.0,0.002,0.008,0.008,0.0,0.008,0.0
13,0.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.11599999999999999,0.004,0.062,0.09,0.0,0.0,0.006,0.192,0.006,0.004,0.006,0.006,0.012,0.01,0.062
14,0.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.062,0.008,0.16399999999999998,0.0,0.094,0.08199999999999999,0.012,0.018,0.016,0.21800000000000003,0.008,0.004,0.006,0.006,0.041999999999999996,0.008,0.286
15,0.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.08199999999999999,0.008,0.21000000000000002,0.0,0.122,0.132,0.02,0.026000000000000002,0.018,0.24,0.008,0.016,0.0,0.0,0.062,0.002,0.47800000000000004
16,0.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.066,0.008,0.20400000000000001,0.0,0.13799999999999998,0.194,0.03,0.044,0.024,0.256,0.0,0.041999999999999996,0.0,0.0,0.072,0.014000000000000002,0.532
17,0.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.028000000000000004,0.0,0.16599999999999998,0.0,0.13,0.21600000000000003,0.018,0.041999999999999996,0.022,0.256,0.0,0.052000000000000005,0.012,0.0,0.06,0.014000000000000002,0.356
18,0.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.126,0.0,0.118,0.184,0.012,0.034,0.02,0.23199999999999998,0.0,0.048,0.016,0.0,0.046,0.022,0.188
19,0.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.118,0.0,0.10200000000000001,0.132,0.01,0.028000000000000004,0.01,0.22400000000000003,0.0,0.048,0.016,0.0,0.024,0.018,0.08
20,0.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.11200000000000002,0.0,0.09,0.10800000000000001,0.01,0.012,0.002,0.20600000000000002,0.0,0.08199999999999999,0.006,0.0,0.006,0.036,0.034
21,0.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.11399999999999999,0.0,0.08,0.088,0.008,0.012,0.0,0.22799999999999998,0.0,0.092,0.002,0.0,0.0,0.028000000000000004,0.012
22,0.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.086,0.0,0.078,0.078,0.0,0.0,0.0,0.21400000000000002,0.0,0.086,0.002,0.0,0.0,0.038,0.0
23,0.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.076,0.0,0.074,0.048,0.0,0.0,0.0,0.22999999999999998,0.0,0.076,0.0,0.0,0.0,0.032,0.0
24,0.96,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.066,0.0,0.074,0.046,0.0,0.0,0.002,0.21600000000000003,0.0,0.08199999999999999,0.01,0.0,0.0,0.048,0.0
25,1.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.06999999999999999,0.0,0.06999999999999999,0.052000000000000005,0.0,0.0,0.004,0.23199999999999998,0.0,0.074,0.01,0.0,0.0,0.038,0.0
26,1.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.072,0.0,0.066,0.062,0.0,0.0,0.004,0.23399999999999999,0.0,0.062,0.01,0.0,0.0,0.026000000000000002,0.006
27,1.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.014000000000000002,0.08399999999999999,0.0,0.066,0.05,0.004,0.008,0.002,0.25,0.0,0.054000000000000006,0.0,0.0,0.0,0.02,0.012
28,1.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.014000000000000002,0.08399999999999999,0.0,0.062,0.054000000000000006,0.004,0.008,0.002,0.264,0.0,0.074,0.0,0.004,0.0,0.016,0.012
29,1.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.012,0.06999999999999999,0.0,0.06,0.052000000000000005,0.004,0.008,0.006,0.254,0.0,0.062,0.0,0.004,0.006,0.016,0.022
30,1.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.05,0.0,0.062,0.06,0.0,0.0,0.01,0.22999999999999998,0.0,0.05,0.0,0.006,0.02,0.03,0.018
31,1.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.041999999999999996,0.0,0.057999999999999996,0.06999999999999999,0.0,0.0,0.008,0.202,0.0,0.028000000000000004,0.0,0.004,0.02,0.028000000000000004,0.016
32,1.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.052000000000000005,0.0,0.05600000000000001,0.076,0.0,0.0,0.004,0.186,0.004,0.032,0.012,0.004,0.012,0.028000000000000004,0.0
33,1.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.066,0.0,0.05,0.076,0.0,0.0,0.0,0.184,0.004,0.036,0.026000000000000002,0.0,0.0,0.012,0.0
34,1.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.072,0.0,0.052000000000000005,0.044,0.0,0.0,0.0,0.192,0.004,0.046,0.026000000000000002,0.0,0.008,0.016,0.0
35,1.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.076,0.0,0.05600000000000001,0.028000000000000004,0.002,0.008,0.0,0.21800000000000003,0.0,0.057999999999999996,0.018,0.0,0.008,0.034,0.0
36,1.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08199999999999999,0.0,0.06,0.036,0.002,0.008,0.0,0.22599999999999998,0.0,0.096,0.006,0.002,0.024,0.038,0.0
37,1.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.01,0.08399999999999999,0.0,0.062,0.057999999999999996,0.004,0.008,0.0,0.236,0.0,0.1,0.006,0.002,0.02,0.05,0.0
38,1.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.018,0.078,0.0,0.06,0.076,0.004,0.004,0.0,0.24,0.0,0.10400000000000001,0.0,0.006,0.02,0.05,0.0
39,1.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.022,0.06999999999999999,0.0,0.06,0.057999999999999996,0.004,0.004,0.008,0.246,0.0,0.078,0.0,0.012,0.002,0.078,0.0
40,1.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.06,0.0,0.06,0.038,0.0,0.012,0.016,0.246,0.0,0.068,0.006,0.016,0.004,0.08,0.0
41,1.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.054000000000000006,0.052000000000000005,0.0,0.01,0.016,0.238,0.0,0.064,0.006,0.014000000000000002,0.004,0.08399999999999999,0.0
42,1.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041999999999999996,0.0,0.048,0.06999999999999999,0.0,0.01,0.008,0.24,0.0,0.064,0.006,0.006,0.004,0.068,0.0
43,1.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.052000000000000005,0.088,0.0,0.0,0.0,0.22000000000000003,0.0,0.044,0.0,0.0,0.002,0.044,0.0
44,1.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05600000000000001,0.074,0.0,0.0,0.0,0.196,0.0,0.024,0.0,0.004,0.008,0.032,0.0
45,1.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.044,0.0,0.057999999999999996,0.076,0.0,0.0,0.0,0.184,0.0,0.014000000000000002,0.008,0.01,0.024,0.02,0.004
46,1.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.044,0.0,0.057999999999999996,0.074,0.0,0.0,0.0,0.192,0.0,0.014000000000000002,0.014000000000000002,0.01,0.034,0.02,0.004
47,1.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.041999999999999996,0.0,0.057999999999999996,0.076,0.0,0.0,0.0,0.2,0.0,0.012,0.014000000000000002,0.004,0.026000000000000002,0.02,0.004
48,1.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.066,0.076,0.0,0.0,0.004,0.22000000000000003,0.0,0.012,0.006,0.004,0.024,0.022,0.0
49,1.96,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.062,0.068,0.0,0.0,0.004,0.21600000000000003,0.0,0.026000000000000002,0.0,0.008,0.012,0.022,0.006
50,2.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.004,0.064,0.08399999999999999,0.01,0.0,0.004,0.22599999999999998,0.0,0.034,0.0,0.008,0.012,0.014000000000000002,0.006
51,2.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.006,0.057999999999999996,0.098,0.01,0.0,0.0,0.21800000000000003,0.0,0.024,0.0,0.006,0.014000000000000002,0.008,0.016
52,2.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052000000000000005,0.006,0.06,0.11399999999999999,0.01,0.004,0.0,0.23399999999999999,0.0,0.012,0.0,0.008,0.014000000000000002,0.008,0.024
53,2.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.05600000000000001,0.004,0.057999999999999996,0.088,0.0,0.004,0.0,0.246,0.0,0.0,0.01,0.01,0.014000000000000002,0.024,0.024
54,2.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.06999999999999999,0.01,0.054000000000000006,0.08199999999999999,0.0,0.008,0.0,0.244,0.0,0.018,0.01,0.014000000000000002,0.006,0.032,0.036
55,2.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.078,0.016,0.054000000000000006,0.074,0.0,0.004,0.0,0.23199999999999998,0.0,0.022,0.022,0.012,0.02,0.038,0.036
56,2.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.016,0.052000000000000005,0.078,0.0,0.004,0.0,0.22999999999999998,0.002,0.034,0.014000000000000002,0.012,0.028000000000000004,0.028000000000000004,0.038
57,2.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.068,0.018,0.05,0.05600000000000001,0.0,0.0,0.0,0.22799999999999998,0.014000000000000002,0.022,0.012,0.01,0.024,0.026000000000000002,0.022
58,2.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.064,0.018,0.05,0.05,0.0,0.0,0.006,0.22599999999999998,0.034,0.02,0.0,0.008,0.028000000000000004,0.022,0.006
59,2.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.064,0.02,0.052000000000000005,0.062,0.0,0.0,0.008,0.21200000000000002,0.034,0.006,0.008,0.004,0.036,0.02,0.004
60,2.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.068,0.026000000000000002,0.057999999999999996,0.096,0.0,0.0,0.008,0.21600000000000003,0.026000000000000002,0.002,0.02,0.0,0.05,0.01,0.0
61,2.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.022,0.064,0.11599999999999999,0.0,0.0,0.0,0.20800000000000002,0.004,0.006,0.02,0.0,0.03,0.018,0.0
62,2.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.018,0.072,0.10400000000000001,0.0,0.0,0.004,0.21000000000000002,0.002,0.006,0.016,0.0,0.022,0.012,0.0
63,2.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.057999999999999996,0.0,0.076,0.08,0.0,0.0,0.004,0.2,0.0,0.006,0.006,0.0,0.03,0.014000000000000002,0.0
64,2.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.054000000000000006,0.0,0.074,0.05600000000000001,0.0,0.0,0.004,0.2,0.0,0.0,0.022,0.0,0.04,0.01,0.0
65,2.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.046,0.004,0.068,0.048,0.0,0.0,0.0,0.20600000000000002,0.0,0.004,0.028000000000000004,0.0,0.044,0.02,0.0
66,2.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.032,0.004,0.066,0.048,0.0,0.0,0.004,0.21400000000000002,0.0,0.02,0.026000000000000002,0.002,0.032,0.038,0.0
67,2.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.02,0.004,0.068,0.06,0.0,0.0,0.006,0.21600000000000003,0.0,0.034,0.01,0.002,0.02,0.044,0.0
68,2.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.04,0.006,0.068,0.052000000000000005,0.0,0.0,0.008,0.21000000000000002,0.008,0.03,0.002,0.002,0.028000000000000004,0.036,0.0
69,2.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.006,0.064,0.041999999999999996,0.0,0.0,0.004,0.2,0.014000000000000002,0.014000000000000002,0.002,0.0,0.026000000000000002,0.014000000000000002,0.002
70,2.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.006,0.06,0.03,0.002,0.0,0.006,0.21800000000000003,0.014000000000000002,0.0,0.002,0.0,0.034,0.0,0.002
71,2.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.057999999999999996,0.054000000000000006,0.002,0.0,0.004,0.22000000000000003,0.004,0.0,0.0,0.0,0.014000000000000002,0.0,0.002
72,2.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.072,0.0,0.066,0.068,0.002,0.008,0.004,0.22000000000000003,0.0,0.006,0.0,0.006,0.008,0.0,0.0
73,2.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.074,0.0,0.068,0.10800000000000001,0.0,0.008,0.0,0.22000000000000003,0.0,0.006,0.006,0.006,0.0,0.0,0.022
74,2.96,0.98,1,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.01,0.096,0.0,0.092,0.176,0.016,0.03,0.01,0.22400000000000003,0.0,0.006,0.006,0.006,0.034,0.01,0.162
75,3.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.028000000000000004,0.002,0.126,0.0,0.11399999999999999,0.25,0.032,0.034,0.016,0.22400000000000003,0.0,0.0,0.006,0.0,0.08,0.034,0.294
