frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
76,3.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.16,0.0,0.134,0.298,0.04,0.046,0.028000000000000004,0.22400000000000003,0.0,0.0,0.0,0.0,0.11000000000000001,0.052000000000000005,0.422
77,3.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.032,0.014000000000000002,0.152,0.0,0.122,0.262,0.032,0.026000000000000002,0.028000000000000004,0.23399999999999999,0.016,0.004,0.0,0.0,0.088,0.052000000000000005,0.38
78,3.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.02,0.016,0.13,0.0,0.11599999999999999,0.248,0.028000000000000004,0.014000000000000002,0.022,0.21400000000000002,0.026000000000000002,0.004,0.0,0.0,0.064,0.04,0.31
79,3.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.016,0.10400000000000001,0.0,0.096,0.21400000000000002,0.026000000000000002,0.0,0.012,0.21600000000000003,0.026000000000000002,0.014000000000000002,0.0,0.0,0.044,0.02,0.18
80,3.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.09,0.0,0.086,0.194,0.018,0.0,0.002,0.198,0.01,0.01,0.0,0.0,0.054000000000000006,0.012,0.08199999999999999
81,3.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.08,0.0,0.06999999999999999,0.148,0.008,0.0,0.002,0.21000000000000002,0.0,0.01,0.0,0.0,0.046,0.0,0.064
82,3.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.05600000000000001,0.0,0.12,0.0,0.068,0.142,0.0,0.006,0.002,0.198,0.0,0.002,0.0,0.0,0.06999999999999999,0.0,0.274
83,3.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.16599999999999998,0.0,0.078,0.128,0.006,0.012,0.002,0.21600000000000003,0.006,0.012,0.0,0.0,0.076,0.0,0.538
84,3.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.092,0.0,0.22400000000000003,0.0,0.094,0.174,0.016,0.028000000000000004,0.008,0.236,0.014000000000000002,0.036,0.0,0.0,0.08,0.014000000000000002,0.726
85,3.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.054000000000000006,0.0,0.21800000000000003,0.0,0.11000000000000001,0.202,0.02,0.022,0.014000000000000002,0.236,0.016,0.05,0.0,0.0,0.068,0.02,0.634
86,3.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.186,0.0,0.11000000000000001,0.236,0.016,0.016,0.018,0.22799999999999998,0.01,0.04,0.0,0.0,0.05600000000000001,0.02,0.45
87,3.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.134,0.0,0.098,0.2,0.008,0.0,0.014000000000000002,0.21600000000000003,0.002,0.016,0.0,0.0,0.038,0.014000000000000002,0.248
88,3.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.086,0.158,0.014000000000000002,0.006,0.012,0.22999999999999998,0.0,0.014000000000000002,0.0,0.0,0.034,0.014000000000000002,0.15
89,3.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.08399999999999999,0.158,0.016,0.006,0.008,0.24,0.01,0.02,0.002,0.0,0.026000000000000002,0.014000000000000002,0.086
90,3.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.08399999999999999,0.158,0.014000000000000002,0.014000000000000002,0.014000000000000002,0.256,0.01,0.032,0.002,0.0,0.034,0.03,0.066
91,3.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.08199999999999999,0.136,0.006,0.008,0.018,0.26,0.016,0.041999999999999996,0.002,0.0,0.03,0.038,0.026000000000000002
92,3.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.074,0.11200000000000002,0.002,0.008,0.026000000000000002,0.248,0.006,0.052000000000000005,0.0,0.006,0.038,0.044,0.006
93,3.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.068,0.09,0.0,0.0,0.016,0.246,0.016,0.044,0.0,0.006,0.03,0.02,0.0
94,3.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.096,0.0,0.064,0.10600000000000001,0.0,0.0,0.01,0.27,0.01,0.026000000000000002,0.0,0.006,0.022,0.018,0.016
95,3.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.08199999999999999,0.0,0.06999999999999999,0.096,0.0,0.0,0.002,0.288,0.022,0.03,0.0,0.004,0.002,0.01,0.03
96,3.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.066,0.0,0.074,0.10200000000000001,0.0,0.0,0.006,0.288,0.012,0.026000000000000002,0.0,0.012,0.006,0.016,0.04
97,3.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.06999999999999999,0.08,0.0,0.0,0.008,0.272,0.014000000000000002,0.026000000000000002,0.0,0.02,0.002,0.006,0.028000000000000004
98,3.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.06,0.074,0.0,0.0,0.012,0.27799999999999997,0.012,0.008,0.0,0.02,0.008,0.006,0.014000000000000002
99,3.96,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05600000000000001,0.08399999999999999,0.0,0.0,0.014000000000000002,0.27,0.02,0.012,0.0,0.016,0.012,0.0,0.004
100,4.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.057999999999999996,0.0,0.064,0.10400000000000001,0.002,0.0,0.012,0.264,0.032,0.014000000000000002,0.0,0.014000000000000002,0.03,0.016,0.008
101,4.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.062,0.0,0.064,0.128,0.006,0.002,0.012,0.254,0.03,0.014000000000000002,0.0,0.018,0.04,0.016,0.018
102,4.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.06999999999999999,0.0,0.06999999999999999,0.10600000000000001,0.006,0.008,0.014000000000000002,0.248,0.024,0.012,0.0,0.02,0.052000000000000005,0.04,0.018
103,4.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.06,0.0,0.066,0.078,0.002,0.008,0.01,0.236,0.014000000000000002,0.006,0.002,0.016,0.04,0.048,0.01
104,4.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.06,0.002,0.06999999999999999,0.036,0.0,0.006,0.008,0.22400000000000003,0.01,0.012,0.026000000000000002,0.006,0.034,0.062,0.0
105,4.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.012,0.004,0.052000000000000005,0.002,0.064,0.036,0.002,0.006,0.0,0.24,0.016,0.02,0.032,0.002,0.032,0.038,0.01
106,4.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.0,0.05,0.002,0.06,0.048,0.002,0.006,0.0,0.24,0.026000000000000002,0.038,0.03,0.004,0.03,0.014000000000000002,0.01
107,4.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.048,0.0,0.06,0.078,0.002,0.008,0.0,0.248,0.032,0.05,0.006,0.004,0.022,0.004,0.016
108,4.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.06,0.0,0.057999999999999996,0.086,0.0,0.002,0.0,0.21800000000000003,0.041999999999999996,0.05,0.014000000000000002,0.002,0.02,0.004,0.016
109,4.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.074,0.008,0.062,0.122,0.0,0.004,0.0,0.202,0.05600000000000001,0.032,0.024,0.0,0.032,0.006,0.016
110,4.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.002,0.088,0.012,0.057999999999999996,0.136,0.0,0.002,0.0,0.194,0.05,0.012,0.024,0.0,0.05,0.004,0.01
111,4.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.002,0.08,0.012,0.062,0.156,0.0,0.002,0.0,0.20600000000000002,0.03,0.01,0.012,0.0,0.066,0.014000000000000002,0.0
112,4.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.08199999999999999,0.004,0.062,0.142,0.0,0.0,0.008,0.236,0.004,0.03,0.008,0.0,0.068,0.028000000000000004,0.006
113,4.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.078,0.0,0.064,0.126,0.0,0.0,0.008,0.22999999999999998,0.006,0.03,0.008,0.002,0.062,0.024,0.006
114,4.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.088,0.0,0.064,0.10600000000000001,0.0,0.0,0.008,0.238,0.01,0.022,0.008,0.002,0.048,0.02,0.006
115,4.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.09,0.002,0.06,0.10200000000000001,0.0,0.008,0.006,0.238,0.024,0.006,0.0,0.006,0.038,0.014000000000000002,0.0
116,4.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.014000000000000002,0.092,0.022,0.057999999999999996,0.098,0.0,0.012,0.006,0.23399999999999999,0.041999999999999996,0.026000000000000002,0.0,0.008,0.048,0.024,0.0
117,4.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.014000000000000002,0.08399999999999999,0.022,0.062,0.094,0.002,0.022,0.006,0.22999999999999998,0.04,0.03,0.0,0.01,0.036,0.032,0.006
118,4.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.016,0.026000000000000002,0.08199999999999999,0.03,0.06,0.09,0.002,0.02,0.0,0.21200000000000002,0.036,0.034,0.0,0.006,0.026000000000000002,0.041999999999999996,0.006
119,4.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.016,0.014000000000000002,0.064,0.018,0.054000000000000006,0.08199999999999999,0.002,0.014000000000000002,0.0,0.23199999999999998,0.014000000000000002,0.026000000000000002,0.0,0.002,0.002,0.032,0.006
120,4.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.016,0.014000000000000002,0.05600000000000001,0.018,0.05,0.068,0.0,0.004,0.0,0.238,0.018,0.038,0.0,0.004,0.0,0.03,0.0
121,4.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.012,0.002,0.048,0.01,0.052000000000000005,0.057999999999999996,0.0,0.0,0.0,0.246,0.01,0.036,0.0,0.006,0.0,0.012,0.0
122,4.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.06,0.004,0.05600000000000001,0.048,0.0,0.002,0.0,0.22400000000000003,0.026000000000000002,0.026000000000000002,0.0,0.006,0.012,0.026000000000000002,0.0
123,4.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.0,0.072,0.004,0.05600000000000001,0.05600000000000001,0.006,0.002,0.0,0.21200000000000002,0.032,0.012,0.0,0.004,0.022,0.02,0.0
124,4.96,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.006,0.066,0.002,0.05600000000000001,0.041999999999999996,0.006,0.002,0.0,0.19,0.034,0.02,0.0,0.0,0.022,0.02,0.0
125,5.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.012,0.006,0.054000000000000006,0.0,0.057999999999999996,0.048,0.006,0.0,0.0,0.20400000000000001,0.026000000000000002,0.028000000000000004,0.002,0.0,0.012,0.008,0.0
126,5.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.044,0.0,0.062,0.032,0.0,0.0,0.0,0.21200000000000002,0.018,0.04,0.006,0.0,0.016,0.0,0.0
127,5.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.054000000000000006,0.002,0.05600000000000001,0.052000000000000005,0.002,0.0,0.0,0.22200000000000003,0.02,0.024,0.018,0.0,0.018,0.0,0.002
128,5.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.002,0.054000000000000006,0.06,0.002,0.0,0.0,0.22799999999999998,0.014000000000000002,0.014000000000000002,0.016,0.0,0.032,0.008,0.002
129,5.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.08199999999999999,0.002,0.05,0.078,0.004,0.016,0.0,0.22599999999999998,0.012,0.012,0.016,0.0,0.032,0.024,0.002
130,5.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.088,0.006,0.054000000000000006,0.062,0.006,0.016,0.0,0.23399999999999999,0.016,0.012,0.004,0.0,0.052000000000000005,0.032,0.0
131,5.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.078,0.006,0.05600000000000001,0.05,0.016,0.016,0.0,0.22200000000000003,0.018,0.018,0.01,0.0,0.046,0.034,0.0
132,5.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.076,0.006,0.054000000000000006,0.054000000000000006,0.014000000000000002,0.0,0.0,0.21400000000000002,0.024,0.026000000000000002,0.006,0.0,0.05,0.024,0.01
133,5.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.066,0.0,0.054000000000000006,0.06999999999999999,0.014000000000000002,0.008,0.0,0.196,0.016,0.034,0.006,0.0,0.04,0.016,0.016
134,5.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.068,0.0,0.05600000000000001,0.08399999999999999,0.008,0.012,0.0,0.19,0.006,0.038,0.002,0.0,0.03,0.006,0.026000000000000002
135,5.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.06999999999999999,0.0,0.06,0.076,0.006,0.032,0.0,0.20400000000000001,0.0,0.036,0.004,0.0,0.024,0.002,0.022
136,5.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.072,0.0,0.06999999999999999,0.06999999999999999,0.004,0.04,0.0,0.22400000000000003,0.0,0.046,0.022,0.0,0.038,0.002,0.016
137,5.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.068,0.0,0.06999999999999999,0.054000000000000006,0.0,0.052000000000000005,0.0,0.22599999999999998,0.016,0.057999999999999996,0.026000000000000002,0.0,0.057999999999999996,0.002,0.006
138,5.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.076,0.0,0.064,0.068,0.0,0.046,0.0,0.21800000000000003,0.026000000000000002,0.064,0.024,0.0,0.062,0.006,0.0
139,5.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.072,0.0,0.052000000000000005,0.078,0.0,0.036,0.0,0.21000000000000002,0.046,0.052000000000000005,0.006,0.0,0.046,0.006,0.0
140,5.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.072,0.0,0.046,0.074,0.0,0.018,0.006,0.236,0.03,0.048,0.0,0.0,0.038,0.006,0.0
141,5.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.066,0.0,0.046,0.044,0.0,0.006,0.006,0.262,0.036,0.04,0.004,0.0,0.03,0.002,0.0
142,5.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.0,0.06999999999999999,0.0,0.052000000000000005,0.026000000000000002,0.0,0.002,0.006,0.282,0.03,0.046,0.01,0.004,0.05,0.002,0.004
143,5.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.0,0.066,0.0,0.057999999999999996,0.026000000000000002,0.0,0.004,0.0,0.258,0.052000000000000005,0.026000000000000002,0.014000000000000002,0.004,0.06,0.004,0.004
144,5.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.074,0.0,0.06,0.044,0.002,0.018,0.0,0.23399999999999999,0.044,0.026000000000000002,0.01,0.004,0.066,0.014000000000000002,0.004
145,5.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.08,0.0,0.05600000000000001,0.03,0.004,0.022,0.0,0.21000000000000002,0.036,0.016,0.004,0.0,0.05,0.02,0.0
146,5.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08199999999999999,0.0,0.052000000000000005,0.034,0.004,0.02,0.0,0.20800000000000002,0.016,0.018,0.0,0.0,0.054000000000000006,0.026000000000000002,0.0
147,5.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.046,0.038,0.004,0.006,0.0,0.2,0.012,0.014000000000000002,0.0,0.0,0.054000000000000006,0.016,0.0
148,5.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.052000000000000005,0.06,0.008,0.002,0.002,0.198,0.01,0.032,0.0,0.0,0.044,0.012,0.004
149,5.96,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.062,0.068,0.014000000000000002,0.0,0.006,0.192,0.02,0.057999999999999996,0.0,0.0,0.008,0.006,0.01
